x1,x2
-2.9123743,1.3183019
2.9754174,-2.40851
-2.7431884,0.8933767
-0.9649327,-0.73548925
0.1071403,1.4977734
-0.10654044,0.72406995
-2.8970406,-2.9254496
-0.3878839,-2.1378605
-1.5391066,1.3993173
-0.85490966,-2.1887505
-1.9052956,-3.182361
-1.9885482,1.6046722
0.5659144,0.87474287
-1.4403555,-3.0023062
0.33185887,-2.331764
-0.7388487,-2.424475
4.3311243,0.59090835
-1.5094848,1.3424896
-1.0197241,-3.074244
1.4210284,0.24843721
-0.823004,-3.0075352
0.6627238,0.49351546
-2.241788,-2.4255497
-1.0425777,0.5086695
1.5423834,-2.442634
-1.162822,0.84232366
-2.5136695,1.2126377
1.794637,0.3443637
-1.9627542,-1.5731444
0.40692163,1.4889358
1.4207766,0.1181986
3.1717923,1.1414135
0.2782781,1.2315329
1.0080073,1.8749003
1.2052987,0.96502984
0.96415544,1.3929944
0.38962626,0.8232082
-0.34890008,0.4542915
-0.6060264,0.17267059
-1.1805573,0.72005177
1.3463624,1.4576154
4.1926966,0.1084322
-0.9490986,1.7045388
0.44708276,1.5075135
-0.96123195,-3.0549302
0.9693749,0.6952536
1.2576783,1.1444339
-0.728431,-2.7456071
-1.2356935,0.7717935
-0.72554517,0.92099667
-1.0803378,-2.2487562
-0.8989413,0.90148365
-1.3334863,-2.9183743
-0.4601121,-2.5648787
0.2014916,0.6747272
1.8298757,0.91085637
-0.45479822,1.3231728
-3.1576324,-1.2700362
1.286598,0.79105663
-1.7716439,0.6473295
0.3388207,0.5528146
1.7595551,0.7134004
-2.5219042,0.3615765
-0.61730933,-1.790462
1.26912,0.91550624
0.26500964,-1.8282814
-3.8785584,1.5024318
1.0066607,0.85804677
0.18694806,0.8477503
-1.1938279,1.6747874
0.77526784,0.1205168
1.9933765,0.031492442
-0.73065543,-2.5888164
-0.97707295,0.80251884
-4.2005506,-0.033199966
-0.7564275,-0.90916324
-0.24428916,0.7358527
1.0820944,1.2050161
1.0526412,0.26436913
-4.136963,1.1162499
-0.8183234,-2.8347642
-0.43683434,0.45186126
-1.4916458,-1.5826349
-0.5814915,-2.9091246
-3.387771,0.2724128
-1.3842907,-2.4830482
0.476825,0.46459615
3.1096861,0.6453166
-2.5572753,1.326287
0.3026178,0.1566601
2.3670132,0.21228732
2.8465788,0.37848252
0.9859135,-0.5061532
1.4853413,0.2500401
-1.6221364,0.6562065
0.07947278,0.52443886
1.9394505,1.177371
0.19378877,0.43927908
0.1348741,-2.334572
1.4175742,1.1710756
-2.8842669,-1.634371
-0.0159266,0.59607863
-0.94401336,0.9982941
-0.102021694,1.048638
-2.5414574,1.2755765
-1.1295545,0.48603317
-1.4677026,-2.2688663
-0.11049533,-0.43504134
1.0543339,-3.0342839
1.4830077,0.02546969
-0.33423495,-2.3862936
-1.675381,-3.187009
-1.3691866,0.5445688
1.8147452,1.4904829
-0.4923246,0.4573299
0.47369218,-0.23309812
-2.3549573,0.7118363
0.87687373,0.7975209
-0.6780503,-2.4375064
-1.3946726,1.5117055
0.25087,-3.1256716
0.23604321,-2.5956733
-1.7456181,-3.0733156
-0.7239835,0.053550884
-1.6979587,-2.6274478
1.3340509,0.96228683
1.9194577,0.3393427
2.4895642,0.7501254
-0.5911033,0.64004576
0.7149508,0.80490756
-2.092071,1.2964118
0.69152236,0.704875
1.9420049,0.9161813
-3.2060945,1.4845448
1.8864634,0.6000375
0.78440785,0.5765523
0.8370249,1.2418094
-1.5193536,0.4362523
2.6197426,1.0836172
-2.2139792,-0.24230218
1.7274644,0.32454607
1.0606282,0.31711924
0.15967774,0.8841772
-1.5000906,1.5002465
-1.414633,0.4771168
0.061740637,-0.18343079
-2.4227426,1.4293975
-3.1059165,0.77904177
-4.7043934,1.4563172
-0.981488,0.4063423
-2.8098004,-2.9810345
-3.7889602,0.31245604
2.5184405,0.8757868
1.4954131,0.868104
0.81227136,1.3062563
-0.7241013,-3.0546024
-0.49299645,0.4835961
1.6164362,0.8707696
2.410228,-2.1157875
-2.3383975,0.9898788
0.023812056,-2.5427916
1.6480095,0.9756088
1.7153547,0.9028468
-2.4912353,-2.9977267
