x1,x2
2.7748172,7.2992244
0.06917733,-1.6281174
2.6704447,7.5684247
1.0171736,9.629215
3.1491485,11.767823
2.8515346,6.994514
-1.3625243,-1.450502
-2.643349,0.1381807
3.9585302,7.149457
-1.9507838,-0.45758408
-0.33406708,0.9249339
-2.7700493,10.147378
-3.1803677,7.6226134
-1.8072299,-1.6462321
-1.9076678,-1.9021606
-1.342222,-1.7051104
1.0420167,9.030278
1.530427,10.109635
-3.201599,1.0028559
-2.625909,10.312
-2.6508434,0.60401917
-3.4809387,8.69865
-2.3745358,-1.2284263
-1.5733229,6.349004
0.34255353,-1.7465407
4.620208,5.8787403
0.7987237,10.573795
-2.6843028,10.233455
-0.375295,-0.18466276
0.8493793,11.000174
3.9082375,7.6851454
-2.3428636,8.447098
0.002599978,5.9185944
4.065875,10.760208
3.2334461,11.624866
-1.0804586,6.129313
0.74554604,13.89507
-1.2051245,7.2164626
0.5637758,5.856024
4.2565317,8.5768
0.26768762,10.772421
0.9662117,7.6867456
1.0740821,10.927375
4.429993,7.7520223
-2.5002182,1.3760623
1.2874036,5.685064
1.491243,10.968424
-2.2421527,1.1436874
0.89696956,5.919436
-3.3304212,9.152382
-1.61239,-1.654168
1.8815017,11.732775
-2.3254616,1.1176406
-1.7640556,-1.2075548
-0.7000364,7.922546
-1.5754665,13.030604
2.81708,11.515356
-2.3334234,1.104988
1.0124102,6.477454
1.9625283,5.6826167
1.0054982,6.091878
3.49146,7.5847445
0.76610273,-0.08285417
0.5366138,-1.2919517
1.3305362,9.887428
-2.6337445,-0.77806276
-3.015415,7.2523623
2.0409312,5.8915462
1.790438,7.7239733
2.317718,10.515685
-3.1315668,9.775501
-3.4175339,9.533575
-2.1846957,-1.7031925
-0.66687,6.604093
-2.6206675,9.254609
0.5036879,1.8351535
-2.680331,7.7873015
-2.5023668,7.7787724
-2.88287,9.030679
2.1945264,8.848539
-0.18731655,1.1661247
1.1659245,6.5366917
-2.4844275,-2.4656
-0.19047248,-1.5156293
1.0326905,5.70261
-2.6716971,-0.8423805
1.1936792,5.2515035
4.4856105,7.8913875
-1.980103,7.9273233
-3.0220761,13.16201
-3.2401042,10.639882
-2.9333332,12.98608
-2.9542189,13.11824
-2.989187,12.997763
1.3188925,5.8952813
3.1392174,6.937053
0.8692762,8.000686
-1.4483361,12.280126
-0.4268961,-1.2741083
3.1870153,8.007585
-1.0554509,-1.9305127
0.42620832,6.436009
-3.0318518,8.168591
-3.1587312,7.4746494
-3.135495,7.5442057
1.2756852,6.7066565
-0.7878767,6.0247626
-5.242546,2.3728733
-2.2241073,0.10667375
0.9342947,6.101678
-2.3112297,-1.1954143
-1.8037375,-0.579703
1.3823569,5.6550126
4.098942,8.709834
-0.73243946,5.1755834
-2.9873748,12.894166
4.582797,7.315257
0.9366618,11.736602
-2.795881,0.9910977
3.3077297,10.717814
-3.579504,0.40562803
-3.612148,0.98643464
-2.5652716,1.1654197
3.0227828,6.9844384
-3.209682,0.22967853
1.2122152,12.070474
4.2923083,8.460831
4.2357163,8.704562
-3.4593856,9.734432
0.83958083,11.119621
4.1099677,6.2116613
-0.0662433,8.018611
-0.34928334,8.526245
4.077576,10.837586
-0.65893495,12.120465
-1.1138806,12.275714
-0.66988105,11.981268
0.24175385,11.098347
-0.2844832,11.645645
0.573886,1.7990754
-1.3422111,7.7617702
0.11250641,5.8425303
1.9014907,7.277793
2.7670739,9.039449
-2.9880304,9.258448
-0.32406995,6.8201375
1.6412431,11.228154
0.53457564,10.039255
1.6556921,7.2091966
-3.0967534,9.224462
-0.7334831,-1.0949681
0.014354592,-2.8670237
2.615046,11.9773655
